Q1,Q2,T1,T2,Tsp1,Tsp2
10.958419284,28.252282838,39.977,46.357,40.0,46.0
11.397189214,28.71951198,39.912,46.39,40.0,46.0
11.776836106,29.515772015,39.912,46.067,40.0,46.0
12.088158886,30.335695797,39.912,45.971,40.0,46.0
12.326727013,30.904248918,39.912,46.1,40.0,46.0
12.528224638,31.601202651,39.912,45.938,40.0,46.0
12.688703866,32.258663394,39.912,45.906,40.0,46.0
12.813266419,32.84212702,39.912,45.906,40.0,46.0
12.960582038,33.669488245,39.88,45.648,40.0,46.0
13.081234842,34.563793035,39.88,45.52,40.0,46.0
13.17229643,35.402987946,39.88,45.487,40.0,46.0
13.411145431,36.211956906,39.719,45.423,40.0,46.0
13.51015731,37.141142557,39.815,45.262,40.0,46.0
13.549385314,38.018696786,39.848,45.229,40.0,46.0
13.504089706,38.814741938,39.912,45.229,40.0,46.0
13.541769466,39.835713868,39.848,44.972,40.0,46.0
13.558244043,40.717067345,39.848,45.004,40.0,46.0
13.572360694,41.706157693,39.848,44.843,40.0,46.0
13.511609525,42.724467388,39.912,44.746,40.0,46.0
13.441981157,43.527036997,39.912,44.843,40.0,46.0
13.410029083,44.288764127,39.88,44.811,40.0,46.0
13.361184846,44.745605656,39.88,45.004,40.0,46.0
13.281928648,45.165899252,39.912,45.004,40.0,46.0
13.231720768,45.903381268,39.912,44.714,40.0,46.0
13.188163273,46.692770543,39.912,44.617,40.0,46.0
13.135821351,47.292638477,39.912,44.714,40.0,46.0
13.105236344,48.191766422,39.912,44.424,40.0,46.0
13.075826749,49.127864629,39.912,44.327,40.0,46.0
13.03328846,49.860996828,39.912,44.424,40.0,46.0
13.011296289,50.92035479,39.912,44.102,40.0,46.0
12.955970703,51.455219572,39.912,44.456,40.0,46.0
12.908105882,52.023250891,39.912,44.392,40.0,46.0
12.728842919,52.602435042,40.041,44.359,40.0,46.0
12.421348063,53.468635537,40.202,44.102,40.0,46.0
12.091743644,53.76079365,40.234,44.521,40.0,46.0
11.803623896,53.883896511,40.234,44.649,40.0,46.0
11.563538395,54.050957772,40.234,44.617,40.0,46.0
11.407545739,54.448370497,40.202,44.424,40.0,46.0
11.220119232,54.512866314,40.234,44.682,40.0,46.0
11.064381832,54.62534828,40.234,44.649,40.0,46.0
10.94768521,55.015496061,40.234,44.424,40.0,46.0
10.82432553,55.030124791,40.234,44.714,40.0,46.0
10.719920738,55.056730718,40.234,44.714,40.0,46.0
10.627183093,55.01809898,40.234,44.778,40.0,46.0
10.529211955,54.645545068,40.234,45.068,40.0,46.0
10.455594362,54.401424156,40.234,45.004,40.0,46.0
10.414253795,54.509238439,40.234,44.746,40.0,46.0
10.377367049,54.619987102,40.234,44.746,40.0,46.0
10.336892227,54.614056291,40.234,44.843,40.0,46.0
10.288389499,54.38679476,40.234,45.036,40.0,46.0
10.264985991,54.467304084,40.234,44.811,40.0,46.0
10.227700788,54.279965658,40.234,45.036,40.0,46.0
10.264793916,54.114484422,40.17,45.036,40.0,46.0
10.229221531,53.984764142,40.234,45.036,40.0,46.0
10.198071705,53.840606153,40.234,45.068,40.0,46.0
10.172514334,53.72233308,40.234,45.068,40.0,46.0
10.135770423,53.352875689,40.234,45.294,40.0,46.0
10.104063713,52.953149119,40.234,45.358,40.0,46.0
10.088177278,52.720877958,40.234,45.262,40.0,46.0
10.090013813,52.757867602,40.234,45.068,40.0,46.0
10.116481123,52.679694162,40.202,45.165,40.0,46.0
10.110780691,52.739258055,40.234,45.068,40.0,46.0
10.090494007,52.567153547,40.234,45.262,40.0,46.0
10.098850955,52.260494084,40.202,45.391,40.0,46.0
10.054683319,51.64541915,40.234,45.681,40.0,46.0
10.024647437,51.100427534,40.234,45.681,40.0,46.0
10.005492145,50.619505033,40.234,45.681,40.0,46.0
9.9944234401,50.195029147,40.234,45.681,40.0,46.0
9.9892321843,49.820733095,40.234,45.681,40.0,46.0
10.001538753,49.726339873,40.234,45.487,40.0,46.0
9.9980657642,49.413148022,40.234,45.681,40.0,46.0
10.001795106,49.215456097,40.234,45.616,40.0,46.0
9.9622312135,48.891598757,40.267,45.745,40.0,46.0
9.9530590773,48.367659829,40.234,45.938,40.0,46.0
9.9266870464,48.10093694,40.267,45.777,40.0,46.0
9.9457368383,47.94090773,40.234,45.713,40.0,46.0
9.9416898692,47.449715418,40.234,46.003,40.0,46.0
9.9559767062,47.245246828,40.234,45.81,40.0,46.0
9.9755685639,47.184111303,40.234,45.713,40.0,46.0
9.984016818,47.014992614,40.234,45.81,40.0,46.0
9.9978582861,46.983580958,40.234,45.713,40.0,46.0
10.001153867,46.841452995,40.234,45.81,40.0,46.0
10.043987474,46.83016195,40.202,45.713,40.0,46.0
10.024288345,46.475314145,40.234,46.003,40.0,46.0
10.023831733,46.392314176,40.234,45.81,40.0,46.0
10.063099794,46.435777871,40.202,45.713,40.0,46.0
10.059515784,46.481085467,40.234,45.713,40.0,46.0
10.223380155,46.50483433,40.073,45.713,40.0,46.0
10.451873759,46.397431388,39.977,45.81,40.0,46.0
10.615723342,46.421114398,40.009,45.713,40.0,46.0
10.59385361,46.067821726,40.138,46.035,40.0,46.0
10.568136019,46.145765006,40.17,45.713,40.0,46.0
10.477452905,46.228497731,40.234,45.713,40.0,46.0
10.439550009,46.419933488,40.202,45.616,40.0,46.0
10.347808624,46.209099631,40.234,45.938,40.0,46.0
10.303699917,45.97795377,40.202,45.971,40.0,46.0
10.066918145,42.213080248,40.202,45.906,40.0,43.0
9.8832388613,38.824919914,40.234,45.906,40.0,43.0
9.7782412104,35.82453445,40.234,45.874,40.0,43.0
9.7367052097,33.243212496,40.234,45.777,40.0,43.0
9.8319201379,30.827947808,40.138,45.842,40.0,43.0
10.106751372,28.549985766,39.977,45.906,40.0,43.0
10.433295487,26.480301482,39.912,45.906,40.0,43.0
37.991336829,24.177005557,39.912,45.81,68.0,43.0
59.759021737,21.746469683,39.912,45.874,68.0,43.0
76.462537603,19.523385832,39.944,45.681,68.0,43.0
88.531691969,17.364501736,40.009,45.681,68.0,43.0
96.293776525,15.352615063,40.17,45.648,68.0,43.0
100.0,13.617698323,40.234,45.552,68.0,43.0
100.0,12.218330339,40.492,45.391,68.0,43.0
100.0,10.979839496,40.782,45.358,68.0,43.0
100.0,9.7562484742,40.911,45.455,68.0,43.0
100.0,8.8295627618,41.233,45.294,68.0,43.0
100.0,8.0893270278,41.846,45.165,68.0,43.0
100.0,7.5943042648,42.168,45.004,68.0,43.0
100.0,7.0512347444,42.716,45.036,68.0,43.0
100.0,6.7950680873,43.135,44.811,68.0,43.0
100.0,6.608969178,43.779,44.714,68.0,43.0
100.0,6.2834812564,44.166,44.811,68.0,43.0
100.0,5.8455681062,44.746,44.875,68.0,43.0
100.0,5.886878223,45.391,44.456,68.0,43.0
100.0,5.8089690856,46.035,44.488,68.0,43.0
100.0,5.9348409567,46.68,44.263,68.0,43.0
100.0,6.2162198275,47.26,44.069,68.0,43.0
100.0,6.1894301066,47.937,44.23,68.0,43.0
100.0,6.3744499388,48.484,44.005,68.0,43.0
100.0,6.7524622019,49.032,43.779,68.0,43.0
100.0,7.1005681923,49.612,43.715,68.0,43.0
100.0,7.299536746,50.225,43.747,68.0,43.0
100.0,7.3996599075,50.869,43.747,68.0,43.0
100.0,7.6468222988,51.514,43.554,68.0,43.0
100.0,7.9485791807,52.158,43.425,68.0,43.0
100.0,8.1802710478,52.803,43.393,68.0,43.0
100.0,8.3101004395,53.447,43.393,68.0,43.0
100.0,8.5462525523,54.092,43.231,68.0,43.0
